"id","name","guild","realm","region","faction","is_blacklisted","class"
75799496,Akkromage,despair,faerlina,us,horde,false,Mage
75759826,Senthiell,despair,faerlina,us,horde,false,Priest
75799508,Rukez,despair,faerlina,us,horde,false,DeathKnight
68537080,Empw,despair,faerlina,us,horde,false,Warrior
75799500,Maytz,despair,faerlina,us,horde,false,Rogue
75694988,Soonits,despair,faerlina,us,horde,false,Druid
75817038,Himi,despair,faerlina,us,horde,false,Warrior
71319367,Triboulet,despair,faerlina,us,horde,false,Shaman
74076642,Aristotems,despair,faerlina,us,horde,false,Shaman
63315747,Himinbjorg,despair,faerlina,us,horde,false,Warrior
65458079,Azzlock,despair,faerlina,us,horde,false,Warlock
68795515,Azzanorr,despair,faerlina,us,horde,false,Paladin
75909001,Trenovar,Adequate GDKP,faerlina,us,horde,false,DeathKnight
68982742,Stanazolol,Magnum,faerlina,us,horde,false,DeathKnight
75381048,Stanabolin,Gaia,benediction,us,alliance,false,Warlock
68233636,Neotwo,Wagyu Beef,faerlina,us,horde,false,DeathKnight
44906988,Pequetita,Riot,benediction,us,alliance,false,Mage
69530469,Aragaum,Exhibition,faerlina,us,horde,false,Warlock
70150947,Brighttmoon,É Foda Bê,benediction,us,alliance,false,Priest
63643349,Caera,É Foda Bê,benediction,us,alliance,false,Shaman
46493183,Deathmask,É Foda Bê,benediction,us,alliance,false,Warrior
61427085,Desordeira,É Foda Bê,benediction,us,alliance,false,Warlock
51610918,Dhelta,É Foda Bê,benediction,us,alliance,false,Rogue
63890560,Dheltaf,É Foda Bê,benediction,us,alliance,false,Druid
63830963,Epicenter,É Foda Bê,benediction,us,alliance,false,Shaman
60375838,Flavs,É Foda Bê,benediction,us,alliance,false,Druid
60096191,Fullgorina,É Foda Bê,benediction,us,alliance,false,Warlock
67378085,Khalmýr,É Foda Bê,benediction,us,alliance,false,Paladin
44718764,Pitoquinha,É Foda Bê,benediction,us,alliance,false,Mage
60096186,Reikki,É Foda Bê,benediction,us,alliance,false,Priest
49915857,Seucoco,É Foda Bê,benediction,us,alliance,false,Warlock
72236952,Shamtie,É Foda Bê,benediction,us,alliance,false,Warlock
60428786,Shamtilly,É Foda Bê,benediction,us,alliance,false,Priest
60428784,Shinano,É Foda Bê,benediction,us,alliance,false,Paladin
76344809,Skyeatsyou,É Foda Bê,benediction,us,alliance,false,Warlock
67636979,Titânia,É Foda Bê,benediction,us,alliance,false,Warrior
68242274,Wladk,É Foda Bê,benediction,us,alliance,false,DeathKnight
75062318,Wladz,É Foda Bê,benediction,us,alliance,false,Paladin
68094074,Zaramaki,É Foda Bê,benediction,us,alliance,false,Mage
60428783,Zays,É Foda Bê,benediction,us,alliance,false,Hunter
73828996,Zirion,É Foda Bê,benediction,us,alliance,false,Paladin
68263895,Blackspot,É Foda Bê,benediction,us,alliance,false,Hunter
75801976,Cãodebriga,É Foda Bê,benediction,us,alliance,false,Druid
60685727,Daumasx,É Foda Bê,benediction,us,alliance,false,Shaman
63629527,Deziire,É Foda Bê,benediction,us,alliance,false,Mage
71759796,Djøy,É Foda Bê,benediction,us,alliance,false,DeathKnight
71204765,Givanildo,É Foda Bê,benediction,us,alliance,false,DeathKnight
60376050,Húrinn,É Foda Bê,benediction,us,alliance,false,Paladin
75304454,Láele,É Foda Bê,benediction,us,alliance,false,Hunter
70274178,Mandz,É Foda Bê,benediction,us,alliance,false,Druid
64516581,Marcøs,É Foda Bê,benediction,us,alliance,false,Warrior
74468834,Meumacho,É Foda Bê,benediction,us,alliance,false,Rogue
59987921,Panzola,É Foda Bê,benediction,us,alliance,false,Hunter
75898187,Princia,É Foda Bê,benediction,us,alliance,false,Druid
62010307,Rubmytotéms,É Foda Bê,benediction,us,alliance,false,Shaman
71899245,Shaÿ,É Foda Bê,benediction,us,alliance,false,Paladin
73357391,Tobruxaomeno,É Foda Bê,benediction,us,alliance,false,Warlock
68135892,Vintemata,É Foda Bê,benediction,us,alliance,false,Rogue
75038513,Awkafina,É Foda Bê,benediction,us,alliance,false,Shaman
64558679,Deushealer,É Foda Bê,benediction,us,alliance,false,Shaman
71929553,Diwk,É Foda Bê,benediction,us,alliance,false,Mage
70708338,Hiddey,É Foda Bê,benediction,us,alliance,false,Rogue
74508586,Reebecadk,É Foda Bê,benediction,us,alliance,false,DeathKnight
68115730,Asn,É Foda Bê,benediction,us,alliance,false,Priest
64495792,Daumasl,É Foda Bê,benediction,us,alliance,false,Warlock
63317308,Hotgiver,É Foda Bê,benediction,us,alliance,false,Druid
61406237,Inxøk,É Foda Bê,benediction,us,alliance,false,Shaman
66653062,Netø,É Foda Bê,benediction,us,alliance,false,Mage
67513631,Pristolera,É Foda Bê,benediction,us,alliance,false,Priest
75037095,Dheltas,É Foda Bê,benediction,us,alliance,false,Shaman
68112985,Kiyohime,É Foda Bê,benediction,us,alliance,false,DeathKnight
63939901,Malasemalça,É Foda Bê,benediction,us,alliance,false,Paladin
67353362,Märcøs,É Foda Bê,benediction,us,alliance,false,Druid
66400761,Cavalo,É Foda Bê,benediction,us,alliance,false,Shaman
67986973,Dihminino,É Foda Bê,benediction,us,alliance,false,Druid
68425443,Djoy,É Foda Bê,benediction,us,alliance,false,Paladin
68946880,Huntergilmar,É Foda Bê,benediction,us,alliance,false,Hunter
60556081,Jøn,É Foda Bê,benediction,us,alliance,false,Warrior
69176416,Loski,É Foda Bê,benediction,us,alliance,false,Paladin
68293567,Multkill,É Foda Bê,benediction,us,alliance,false,DeathKnight
68094075,Nerotinha,É Foda Bê,benediction,us,alliance,false,Rogue
68139077,Nway,É Foda Bê,benediction,us,alliance,false,DeathKnight
63096844,Rlemos,É Foda Bê,benediction,us,alliance,false,Druid
64123338,Shaÿera,É Foda Bê,benediction,us,alliance,false,Shaman
69513448,Yenifear,É Foda Bê,benediction,us,alliance,false,Warlock
68933921,Monstrø,É Foda Bê,benediction,us,alliance,false,DeathKnight
68194451,Messiahdk,É Foda Bê,benediction,us,alliance,false,DeathKnight
