"name","class","spec","realm","region","guild","faction","zone","encounter","duration","percentile","dps","ilvl","encounter_id","character_id","date","zone_id","report_id","report_fight_id","guild_id"
Nassinha,Druid,Balance,faerlina,us,Teleton,horde,Trial of the Crusader,The Northrend Beasts,452.74,14.800281,5797.1567,243,629,68642603,2023-10-10 01:34:37.465,1018,"6tH7fPkJ8nxQ4XmN",2,708677
Nassinha,Druid,Balance,faerlina,us,Teleton,horde,Trial of the Crusader,Lord Jaraxxus,204.395,13.3579035,6651.87,243,633,68642603,2023-10-10 01:43:54.725,1018,"6tH7fPkJ8nxQ4XmN",3,708677
Wolfpizz,Shaman,Elemental,faerlina,us,Teleton,horde,Trial of the Crusader,The Northrend Beasts,479.947,2.2058215,3510.7432,240,629,76327991,2023-10-10 02:05:47.516,1018,hCMwycWa2vkAr7Yx,6,708677
Wolfpizz,Shaman,Elemental,faerlina,us,Teleton,horde,Trial of the Crusader,Lord Jaraxxus,246.001,3.561282,4938.553,240,633,76327991,2023-10-10 02:19:06.466,1018,zdVrfwhA4Y12KPHv,10,708677
Wolfpizz,Shaman,Elemental,faerlina,us,Teleton,horde,Trial of the Crusader,Twin Val'kyr,229.542,8.187382,8370.686,240,641,76327991,2023-10-10 02:45:44.227,1018,zdVrfwhA4Y12KPHv,14,708677
Thorannos,Paladin,Retribution,faerlina,us,Teleton,horde,Trial of the Crusader,Anub'arak,282.772,5.966177,5981.466,229,645,76991856,2023-10-09 23:42:35.621,1018,ta6fV9ZmcGwv7YCg,8,708677
Kekeu,Rogue,Combat,benediction,us,É Foda Bê,alliance,Trial of the Crusader,The Northrend Beasts,323.049,87.63175,10033.069,248,629,71684501,2023-09-12 01:10:04.129,1018,rRbjVCyTwXNF6nz2,2,641689
Ëlma,Warlock,Demonology,faerlina,us,Teleton,horde,Trial of the Crusader,Lord Jaraxxus,257.565,0.91909796,4294.0425,239,633,76159487,2023-09-29 20:32:00.533,1018,"6Wd7R9rwJcQvTLtH",21,708677
Jeferchami,Shaman,Elemental,faerlina,us,CORE B,horde,Trial of the Crusader,Twin Val'kyr,196.569,9.998619,8849.468,239,641,75862135,2023-10-09 01:38:35.228,1018,"1nqx8Q2kAYgtv7BJ",11,708067
Kekeu,Rogue,Combat,benediction,us,É Foda Bê,alliance,Trial of the Crusader,Lord Jaraxxus,156.249,58.7061,10379.472,246,633,71684501,2023-09-05 01:17:15.434,1018,DkmcG3WtqYjhX8QR,3,641689
Zuldrakar,Shaman,Enhancement,faerlina,us,U P D A T I N G,horde,Trial of the Crusader,Twin Val'kyr,198.225,3.1627905,7134.12,243,641,76608501,2023-10-07 05:00:57.355,1018,Mx1TLkXvC6zdVZp8,6,680362
Mherlini,Mage,Fire,faerlina,us,CORE B,horde,Trial of the Crusader,Lord Jaraxxus,209.52,13.0571165,7899.924,233,633,76457686,2023-10-08 23:51:39.832,1018,j7XyYGQH2aqJLcCF,7,708067
Kekeu,Rogue,Combat,benediction,us,É Foda Bê,alliance,Trial of the Crusader,Twin Val'kyr,155.509,79.12395,17284.13,250,641,71684501,2023-10-06 23:58:44.196,1018,m72b6GqAPDM19hVy,4,641689
Kekeu,Rogue,Combat,benediction,us,É Foda Bê,alliance,Trial of the Crusader,Anub'arak,316.27,84.814964,9273.82,244,645,71684501,2023-08-22 03:10:06.830,1018,d42pqYLbjgntQWD8,20,641689
Kavius,Shaman,Elemental,benediction,us,PAF,alliance,Trial of the Crusader,The Northrend Beasts,475.431,4.0595083,4330.5366,209,629,77135522,2023-10-06 23:45:03.410,1018,GAHWRrfgmz2Cpkc3,6,676493
Kavius,Shaman,Elemental,benediction,us,PAF,alliance,Trial of the Crusader,Lord Jaraxxus,247.686,3.3679218,4863.973,209,633,77135522,2023-10-06 23:56:11.067,1018,gAYWrL31mNfDX7kb,7,676493
Kavius,Shaman,Elemental,benediction,us,PAF,alliance,Trial of the Crusader,Twin Val'kyr,212.299,4.6518707,7221.2397,209,641,77135522,2023-10-07 00:16:51.207,1018,gAYWrL31mNfDX7kb,10,676493
Magmagirl,Shaman,Elemental,faerlina,us,Confia,horde,Trial of the Crusader,The Northrend Beasts,415.563,39.28792,7128.472,234,629,77001300,2023-10-07 01:24:32.201,1018,DYCNmfpcvwhMQdxz,16,671729
Magmagirl,Shaman,Elemental,faerlina,us,Confia,horde,Trial of the Crusader,Lord Jaraxxus,205.902,43.74775,8851.332,234,633,77001300,2023-10-07 01:34:45.980,1018,DYCNmfpcvwhMQdxz,17,671729
Magmagirl,Shaman,Elemental,faerlina,us,Confia,horde,Trial of the Crusader,Twin Val'kyr,203.387,46.089603,12380.506,234,641,77001300,2023-10-07 01:52:34.357,1018,PVdYZRcACHGv8Qzn,6,671729
Fritosalad,Priest,Shadow,faerlina,us,CORE B,horde,Trial of the Crusader,The Northrend Beasts,471.214,0.859596,2209.1602,238,629,76928500,2023-10-08 00:34:52.439,1018,t2k7MpHmaqwrLGKv,2,708067
