"id","guild","title","date","realm","region","faction"
HAthgpnr2PyqcMGN,É Foda Bê,Trial of the Crusader,2023-08-20 16:24:52.819,benediction,us,alliance
KfNW64rZYgjp7QVa,É Foda Bê,algum corno nao subiu log,2023-08-13 21:46:22.466,benediction,us,alliance
BhR8Gv6KygJ4NAXn,É Foda Bê,algum corno nao subiu log,2023-08-10 20:54:28.361,benediction,us,alliance
P4FRrbC7DQKtYBWz,É Foda Bê,Trial of the Crusader,2023-08-17 20:38:14.754,benediction,us,alliance
MNwbta2pYFJk3WcQ,É Foda Bê,Trial of the Crusader,2023-08-17 22:26:00.919,benediction,us,alliance
F6Nmp74DKXPzWj8A,É Foda Bê,Ulduar,2023-08-16 23:05:40.114,benediction,us,alliance
"9KNyXZa8db4Q1Vvc",É Foda Bê,Trial of the Crusader,2023-08-16 20:34:29.042,benediction,us,alliance
TxRCPMfAp47KVbYQ,É Foda Bê,Trial of the Crusader,2023-08-13 23:30:03.178,benediction,us,alliance
"8X1jAqtxRN9MkvcG",É Foda Bê,Trial of the Crusader,2023-08-13 22:52:21.925,benediction,us,alliance
JNcV2Q867ZpgLmPC,É Foda Bê,Trial of the Crusader,2023-08-10 20:38:30.916,benediction,us,alliance
xwDCf2hGFzN6KWHB,É Foda Bê,Trial of the Crusader,2023-08-09 20:29:35.598,benediction,us,alliance
fHX2AJ6pb1mvzr8j,É Foda Bê,Ulduar,2023-08-09 21:33:33.070,benediction,us,alliance
wKvx18C4Th3GPfzQ,É Foda Bê,Trial of the Crusader,2023-08-09 20:36:32.868,benediction,us,alliance
qnaAyHv6hdDtN3Zb,P R O J E T O,Ulduar 25,2023-08-22 21:15:06.101,faerlina,us,horde
"9Bk2RaqDTt7FJvcg",P R O J E T O,TOGC 25 H,2023-08-22 19:31:41.360,faerlina,us,horde
pHfRrdczJ71bZ6PM,P R O J E T O,TOGC10 H ALT,2023-08-17 21:09:40.237,faerlina,us,horde
wJhj27v4KBqQCdbT,P R O J E T O,TOGC10 H,2023-08-17 20:27:06.983,faerlina,us,horde
MxArZk96KRQjWtvG,P R O J E T O,ALT RUN,2023-08-16 21:04:52.734,faerlina,us,horde
fNd4ryHZtWAzkpDF,P R O J E T O,TOGC25 H,2023-08-15 19:46:19.351,faerlina,us,horde
zqVJAdtKZH92avBW,P R O J E T O,TOGC25 H,2023-08-15 19:46:19.351,faerlina,us,horde
LTfcMXx42dmKDzja,P R O J E T O,ToC10H 2,2023-08-09 21:12:44.319,faerlina,us,horde
darT2xv3wzn8LqmZ,P R O J E T O,ToC10H,2023-08-09 20:06:22.641,faerlina,us,horde
qL64BYKVarZGJbQw,DAMNATlON,toc3,2023-08-22 22:37:15.980,faerlina,us,horde
jca92gr4JkCfmDY3,DAMNATlON,toc2,2023-08-22 21:47:30.088,faerlina,us,horde
w3H6mZqFRt9PJfLc,DAMNATlON,toc1,2023-08-22 20:56:23.981,faerlina,us,horde
ByXh9ZKNLT6Qagm7,DAMNATlON,toc25,2023-08-22 20:55:01.460,faerlina,us,horde
J79ChDZF1Vkqpvjn,DAMNATlON,ulduar,2023-08-16 20:34:44.848,faerlina,us,horde
BPFWMH3GfhbQ8KCn,DAMNATlON,toc3,2023-08-15 22:43:39.170,faerlina,us,horde
tpBVZqjvW7GYCmAK,DAMNATlON,toc2,2023-08-15 21:50:52.500,faerlina,us,horde
vPxzJrMHdZ1jywhf,DAMNATlON,toc1,2023-08-15 20:56:24.375,faerlina,us,horde
Bcja1pCqd3bzx6Tf,DAMNATlON,toc25,2023-08-15 20:44:13.308,faerlina,us,horde
Kjr27J4qghV3w6RL,DAMNATlON,ulduar,2023-08-09 20:28:03.004,faerlina,us,horde
p7dhvGfWzQKwnNqR,Posto Ipiranga,ToGC 25 Split 2 - Week 10,2023-08-22 21:59:28.610,faerlina,us,horde
j8NBPrJYKh7gD31a,Posto Ipiranga,ToGC 25 Split 1 - Week 10,2023-08-22 20:54:57.564,faerlina,us,horde
myMB1KkAF89TdrRV,Posto Ipiranga,Alt ToGC 10m,2023-08-17 21:04:12.889,faerlina,us,horde
wbkanG4CK6HJ1tzd,Posto Ipiranga,ToGC Week 9 - Split 3,2023-08-16 20:57:54.453,faerlina,us,horde
W3vzbpQRCjm72wKY,Posto Ipiranga,Split 2 Ulduar15/058,2023-08-15 22:03:35.561,faerlina,us,horde
tx3TqbJZYpVBGPcC,Posto Ipiranga,ToGC Week 9 - Split 2,2023-08-15 22:03:35.561,faerlina,us,horde
p6Vbx1hJyQwa9fDN,Posto Ipiranga,ToGC Week 9 - Split 1,2023-08-15 20:57:11.317,faerlina,us,horde
wT4ynN1aD37cXJp2,Posto Ipiranga,ToGC 25m HC - Alt Run,2023-08-14 21:13:47.810,faerlina,us,horde
AQhc1dHrjqKMz6FP,Posto Ipiranga,ToGC 10m HC,2023-08-10 21:48:10.167,faerlina,us,horde
nr8DHtFL4BGgqXfd,Posto Ipiranga,ToGC 10m HC,2023-08-10 21:15:22.762,faerlina,us,horde
JcwRxNnVp94GLMZW,Posto Ipiranga,ToGC 25 HC Split 2 - Week 8,2023-08-09 20:05:15.006,faerlina,us,horde
kNVvJgn4jmxFXMwa,Blood Fury,Ulduar 22/08,2023-08-22 21:43:39.922,faerlina,us,horde
T26ARdVmr84KYpxj,Blood Fury,Split 2 22/08,2023-08-22 20:45:28.169,faerlina,us,horde
CBknF6aLPNzYAKpG,Blood Fury,Split 1 22/08,2023-08-22 20:02:24.154,faerlina,us,horde
Rt7rKJnCLPQ8FGVB,Blood Fury,Split 2 15/08,2023-08-15 22:27:46.267,faerlina,us,horde
HaNYKyhqjQDbF1CA,Blood Fury,Split 1 15/08,2023-08-15 21:35:53.840,faerlina,us,horde
j8DxYdnCZcP6hwAm,Blood Fury,Ulduar 15/08,2023-08-15 20:26:24.102,faerlina,us,horde
m3v1pKgxWQXJT8wM,Gratz,"25m dos mains do comets do fitpix",2023-08-22 18:59:51.963,faerlina,us,horde
Vjt4JMqrYQfA9yZC,Gratz,"25m dos alts do comets do baiano",2023-08-22 18:04:22.916,faerlina,us,horde
wQfDZtmC6PjbBXrY,Gratz,"25m dos alts",2023-08-15 18:10:23.465,faerlina,us,horde
"9WJrDgKQAGvC1yzX",Gratz,"25m dos mains",2023-08-15 19:15:12.312,faerlina,us,horde
bhCDz3XxBpVMdHj7,PAF,Trial of the Crusader,2023-08-22 22:57:43.184,benediction,us,alliance
"2WKfrZzT71M4RqyF",PAF,Trial of the Crusader,2023-08-22 23:03:07.010,benediction,us,alliance
raWLyjcpBD1wqhFP,PAF,Toc 25 Alts,2023-08-21 20:38:16.561,benediction,us,alliance
gkQBc1VZyG2j8rp7,PAF,Raid Y,2023-08-20 21:31:05.333,benediction,us,alliance
x4fbAWX1GqJB6n8v,PAF,Raid Y,2023-08-20 20:13:09.533,benediction,us,alliance
HxMRL94VhDbKnCfm,PAF,Raid Y,2023-08-20 19:10:50.684,benediction,us,alliance
Xm93q4xkGcDybPQM,PAF,Toc 25 hc Raid X,2023-08-20 20:06:21.265,benediction,us,alliance
rfYkKTMqQLaj4JZz,PAF,Raid Y,2023-08-20 18:58:38.629,benediction,us,alliance
cKFhN1ZRgdxX3nmp,PAF,Toc 25 hc Raid Y,2023-08-20 18:58:34.258,benediction,us,alliance
